season,game_id,game_date,team_id,opp_team_id,is_home,won,pts_team,pts_opp,series_wins_team,series_wins_opp,series_score_diff,series_game_number,is_elimination_for_team,is_elimination_for_opp,days_rest_team,days_rest_opp,rest_diff,roll_pts_team,roll_pts_allowed_team,roll_margin_team,roll_win_pct_team,roll_games_team,roll_pts_opp,roll_pts_allowed_opp,roll_margin_opp,roll_win_pct_opp,roll_games_opp,stars_active_team,stars_active_opp,team_off_rating,opp_off_rating,diff_off_rating,team_def_rating,opp_def_rating,diff_def_rating,team_net_rating,opp_net_rating,diff_net_rating,team_pace,opp_pace,diff_pace,team_ts_pct,opp_ts_pct,diff_ts_pct,team_ast_pct,opp_ast_pct,diff_ast_pct,team_oreb_pct,opp_oreb_pct,diff_oreb_pct,team_dreb_pct,opp_dreb_pct,diff_dreb_pct,team_tm_tov_pct,opp_tm_tov_pct,diff_tm_tov_pct
2017-18,0041700102,2018-04-17,1610612761,1610612764,1,1,130,119,1,0,1,2,0,0,3,3,0,114.0,106.0,8.0,1.0,1,106.0,114.0,-8.0,0.0,1,3,3,113.0,108.1,4.900000000000006,105.3,107.7,-2.4000000000000057,7.7,0.4,7.3,98.02,97.67,0.3499999999999943,0.575,0.56,0.014999999999999902,0.59,0.631,-0.041000000000000036,0.274,0.274,0.0,0.725,0.732,-0.007000000000000006,0.135,0.148,-0.012999999999999984
2017-18,0041700102,2018-04-17,1610612764,1610612761,0,0,119,130,0,1,-1,2,0,0,3,3,0,106.0,114.0,-8.0,0.0,1,114.0,106.0,8.0,1.0,1,3,3,108.1,113.0,-4.900000000000006,107.7,105.3,2.4000000000000057,0.4,7.7,-7.3,97.67,98.02,-0.3499999999999943,0.56,0.575,-0.014999999999999902,0.631,0.59,0.041000000000000036,0.274,0.274,0.0,0.732,0.725,0.007000000000000006,0.148,0.135,0.012999999999999984
2017-18,0041700112,2018-04-17,1610612738,1610612749,1,1,120,106,1,0,1,2,0,0,2,2,0,113.0,107.0,6.0,1.0,1,107.0,113.0,-6.0,0.0,1,2,3,106.8,109.0,-2.200000000000003,103.2,109.1,-5.8999999999999915,3.6,-0.2,3.8000000000000003,96.75,97.03,-0.28000000000000114,0.552,0.571,-0.018999999999999906,0.586,0.585,0.0010000000000000009,0.263,0.244,0.019000000000000017,0.739,0.709,0.030000000000000027,0.144,0.142,0.0020000000000000018
2017-18,0041700112,2018-04-17,1610612749,1610612738,0,0,106,120,0,1,-1,2,0,0,2,2,0,107.0,113.0,-6.0,0.0,1,113.0,107.0,6.0,1.0,1,3,2,109.0,106.8,2.200000000000003,109.1,103.2,5.8999999999999915,-0.2,3.6,-3.8000000000000003,97.03,96.75,0.28000000000000114,0.571,0.552,0.018999999999999906,0.585,0.586,-0.0010000000000000009,0.244,0.263,-0.019000000000000017,0.709,0.739,-0.030000000000000027,0.142,0.144,-0.0020000000000000018
2017-18,0041700162,2018-04-17,1610612757,1610612740,1,0,102,111,0,1,-1,2,0,0,3,3,0,95.0,97.0,-2.0,0.0,1,97.0,95.0,2.0,1.0,1,3,2,108.4,108.5,-0.09999999999999432,105.7,107.4,-1.7000000000000028,2.7,1.1,1.6,97.11,101.48,-4.3700000000000045,0.549,0.573,-0.02399999999999991,0.496,0.627,-0.131,0.279,0.24,0.039000000000000035,0.746,0.726,0.020000000000000018,0.139,0.145,-0.005999999999999978
2017-18,0041700162,2018-04-17,1610612740,1610612757,0,1,111,102,1,0,1,2,0,0,3,3,0,97.0,95.0,2.0,1.0,1,95.0,97.0,-2.0,0.0,1,2,3,108.5,108.4,0.09999999999999432,107.4,105.7,1.7000000000000028,1.1,2.7,-1.6,101.48,97.11,4.3700000000000045,0.573,0.549,0.02399999999999991,0.627,0.496,0.131,0.24,0.279,-0.039000000000000035,0.726,0.746,-0.020000000000000018,0.145,0.139,0.005999999999999978
2017-18,0041700132,2018-04-18,1610612739,1610612754,1,1,100,97,0,1,-1,2,0,0,3,3,0,80.0,98.0,-18.0,0.0,1,98.0,80.0,18.0,1.0,1,3,3,112.0,108.5,3.5,111.1,107.3,3.799999999999997,1.0,1.3,-0.30000000000000004,98.72,96.84,1.8799999999999955,0.584,0.557,0.026999999999999913,0.579,0.544,0.03499999999999992,0.243,0.271,-0.028000000000000025,0.73,0.721,0.009000000000000008,0.139,0.136,0.0030000000000000027
2017-18,0041700132,2018-04-18,1610612754,1610612739,0,0,97,100,1,0,1,2,0,0,3,3,0,98.0,80.0,18.0,1.0,1,80.0,98.0,-18.0,0.0,1,3,3,108.5,112.0,-3.5,107.3,111.1,-3.799999999999997,1.3,1.0,0.30000000000000004,96.84,98.72,-1.8799999999999955,0.557,0.584,-0.026999999999999913,0.544,0.579,-0.03499999999999992,0.271,0.243,0.028000000000000025,0.721,0.73,-0.009000000000000008,0.136,0.139,-0.0030000000000000027
2017-18,0041700142,2018-04-18,1610612745,1610612750,1,1,102,82,1,0,1,2,0,0,3,3,0,104.0,101.0,3.0,1.0,1,101.0,104.0,-3.0,0.0,1,3,3,114.1,112.5,1.5999999999999943,105.7,110.2,-4.5,8.4,2.3,6.1000000000000005,98.02,96.75,1.269999999999996,0.59,0.566,0.02400000000000002,0.557,0.553,0.0040000000000000036,0.254,0.289,-0.034999999999999976,0.75,0.72,0.030000000000000027,0.141,0.128,0.012999999999999984
2017-18,0041700142,2018-04-18,1610612750,1610612745,0,0,82,102,0,1,-1,2,0,0,3,3,0,101.0,104.0,-3.0,0.0,1,104.0,101.0,3.0,1.0,1,3,3,112.5,114.1,-1.5999999999999943,110.2,105.7,4.5,2.3,8.4,-6.1000000000000005,96.75,98.02,-1.269999999999996,0.566,0.59,-0.02400000000000002,0.553,0.557,-0.0040000000000000036,0.289,0.254,0.034999999999999976,0.72,0.75,-0.030000000000000027,0.128,0.141,-0.012999999999999984
